stadtteil,jahr,ew_ins
Kiel_insgesamt,1998,233987
Kiel_insgesamt,1999,230463
Kiel_insgesamt,2000,229044
Kiel_insgesamt,2001,229220
Kiel_insgesamt,2002,229751
Kiel_insgesamt,2003,229901
Kiel_insgesamt,2004,230033
Kiel_insgesamt,2005,230897
Kiel_insgesamt,2006,232340
Kiel_insgesamt,2007,233701
Kiel_insgesamt,2008,234267
Kiel_insgesamt,2009,235264
Kiel_insgesamt,2010,236008
Kiel_insgesamt,2011,237584
Kiel_insgesamt,2012,239320
Kiel_insgesamt,2013,240299
Kiel_insgesamt,2014,242340
Kiel_insgesamt,2015,246269
Kiel_insgesamt,2016,249023
Kiel_insgesamt,2017,249190
Kiel_insgesamt,2018,248792
Kiel_insgesamt,2019,247777
Kiel_insgesamt,2020,247863
Kiel_insgesamt,2021,247546
