jahr,stadtteil,kfz_ins,krad,pkw_ins,pkw_privat,pkw_gewerb,nutz,anhaenger,ew_ins
2018,Südfriedhof,6912,492,5941,4727,1214,479,446,15387
2018,Gaarden-Ost,5206,211,4284,3457,827,711,535,18633
2018,Gaarden-Süd/Kronsburg,5856,430,4984,4211,773,442,569,10699
2018,Hassee,7341,518,5900,4826,1074,923,744,12340
2018,Hasseldieksdamm,2693,143,1935,1415,520,615,390,2827
2018,Ellerbek,2793,217,2462,2361,101,114,229,6363
2018,Wellingdorf,4062,297,3546,3199,347,219,360,8026
2018,Holtenau,3095,206,2784,2648,136,105,263,5763
2018,Pries,3835,348,3382,3304,78,105,388,7422
2018,Friedrichsort,1079,84,952,806,146,43,70,2083
2018,Neumühlen/Dietrichsdorf,5318,406,4693,4509,184,219,467,12677
2018,Elmschenhagen,9698,835,8478,8189,289,385,947,17284
2018,Suchsdorf,5989,395,5398,4800,598,196,395,9339
2018,Schilksee,3329,200,3013,2861,152,116,340,4973
2018,Mettenhof,7531,347,6948,6534,414,236,361,20008
2018,Russee,4935,330,4095,3952,143,510,416,7066
2018,Meimersdorf,2019,163,1738,1722,16,118,179,3326
2018,Moorsee,2056,134,1471,1135,336,451,348,2098
2018,Wellsee,4813,253,3452,2688,764,1108,534,5302
2018,Rönne,351,46,280,278,2,25,66,425
2018,Kiel,128350,8190,110156,94828,15328,10004,10758,248792
2017,Altstadt,893,17,795,230,565,81,41,835
2017,Vorstadt,1436,31,1306,391,915,99,73,1318
2017,Exerzierplatz,2816,173,2471,2054,417,172,194,6511
2017,Damperhof,1647,72,1403,1083,320,172,107,3325
2017,Brunswik,2634,152,2328,2012,316,154,151,6345
2017,Düsternbrook,2263,90,2052,1505,547,121,221,3239
2017,Blücherplatz,5224,324,4708,4426,282,192,280,11221
2017,Wik,9565,580,8514,7697,817,471,626,19656
2017,Ravensberg,5592,312,4693,3688,1005,587,573,12423
2017,Schreventeich,6959,371,5888,3804,2084,700,322,11888
2017,Südfriedhof,6821,486,5879,4641,1238,456,439,15336
2017,Gaarden-Ost,5086,219,4174,3377,797,693,546,18878
2017,Gaarden-Süd/Kronsburg,5879,429,5002,4251,751,448,574,10764
2017,Hassee,7256,525,5828,4778,1050,903,743,12347
2017,Hasseldieksdamm,2601,143,1883,1411,472,575,376,2852
2017,Ellerbek,2747,204,2430,2330,100,113,232,6321
2017,Wellingdorf,4130,306,3571,3223,348,253,393,8032
2017,Holtenau,3074,208,2761,2631,130,105,260,5702
2017,Pries,3788,344,3336,3267,69,108,388,7421
2017,Friedrichsort,1092,83,956,821,135,53,73,2092
2017,Neumühlen/Dietrichsdorf,5257,399,4644,4497,147,214,439,12731
2017,Elmschenhagen,9584,822,8384,8099,285,378,937,17220
2017,Suchsdorf,5847,410,5255,4765,490,182,383,9396
2017,Schilksee,3349,202,3019,2857,162,128,338,5027
2017,Mettenhof,7412,346,6847,6459,388,219,348,20031
2017,Russee,4956,349,4090,3937,153,517,415,7076
2017,Meimersdorf,1971,158,1700,1686,14,113,184,3359
2017,Moorsee,1977,137,1401,1094,307,439,341,2094
2017,Wellsee,4745,250,3404,2635,769,1091,488,5325
2017,Rönne,349,47,279,276,3,23,63,425
2017,Kiel,127006,8193,109050,93970,15080,9763,10553,249190
2016,Altstadt,898,14,801,294,507,83,45,757
2016,Vorstadt,1334,35,1198,497,701,101,81,1275
2016,Exerzierplatz,2789,186,2441,2154,287,162,187,6480
2016,Damperhof,1640,79,1396,1180,216,165,103,3349
2016,Brunswik,2605,153,2294,2074,220,158,134,6420
2016,Düsternbrook,2384,83,2182,1511,671,119,214,3203
2016,Blücherplatz,5206,327,4684,4515,169,195,265,11225
2016,Wik,9527,565,8454,7876,578,508,604,19737
2016,Ravensberg,5448,297,4585,3765,820,566,496,12386
2016,Schreventeich,7099,384,6007,3898,2109,708,302,11907
2016,Südfriedhof,6765,479,5866,4873,993,420,422,15282
2016,Gaarden-Ost,5026,220,4148,3536,612,658,552,18906
2016,Gaarden-Süd/Kronsburg,5819,427,4933,4338,595,459,549,10687
2016,Hassee,7129,515,5748,4902,846,866,738,12306
2016,Hasseldieksdamm,2473,144,1794,1428,366,535,365,2853
2016,Ellerbek,2742,212,2419,2358,61,111,231,6226
2016,Wellingdorf,4097,303,3526,3220,306,268,403,8083
2016,Holtenau,3038,215,2728,2659,69,95,246,5887
2016,Pries,3729,341,3285,3256,29,103,382,7493
2016,Friedrichsort,1090,90,950,853,97,50,71,2096
2016,Neumühlen/Dietrichsdorf,5141,403,4536,4448,88,202,435,12631
2016,Elmschenhagen,9429,810,8267,8111,156,352,931,17196
2016,Suchsdorf,5751,413,5162,4756,406,176,370,9414
2016,Schilksee,3297,181,3004,2877,127,112,326,5097
2016,Mettenhof,7359,352,6799,6503,296,208,348,19959
2016,Russee,4842,348,4028,3936,92,466,405,7113
2016,Meimersdorf,1944,164,1675,1668,7,105,179,3282
2016,Moorsee,1859,133,1349,1080,269,377,341,2079
2016,Wellsee,4798,255,3400,2707,693,1143,469,5264
2016,Rönne,352,47,280,279,1,25,58,430
2016,Kiel,125660,8179,107982,95592,12390,9499,10256,249023
2015,Altstadt,846,12,760,269,491,74,43,665
2015,Vorstadt,1319,34,1191,523,668,94,87,1305
2015,Exerzierplatz,2703,186,2360,2094,266,157,185,6397
2015,Damperhof,1591,74,1352,1142,210,165,100,3329
2015,Brunswik,2634,164,2306,2092,214,164,137,6488
2015,Düsternbrook,2331,85,2137,1470,667,109,211,3192
2015,Blücherplatz,5077,328,4561,4399,162,188,255,11245
2015,Wik,9387,589,8323,7774,549,475,590,19317
2015,Ravensberg,5331,305,4466,3659,807,560,534,12246
2015,Schreventeich,6828,391,5867,3849,2018,570,316,11898
2015,Südfriedhof,6495,454,5621,4842,779,420,402,15102
2015,Gaarden-Ost,4907,228,4035,3407,628,644,562,18314
2015,Gaarden-Süd/Kronsburg,5612,416,4764,4226,538,432,539,10587
2015,Hassee,6994,499,5687,4852,835,808,717,12334
2015,Hasseldieksdamm,2363,133,1724,1393,331,506,357,2838
2015,Ellerbek,2674,201,2365,2311,54,108,220,6003
2015,Wellingdorf,4033,288,3485,3177,308,260,398,8010
2015,Holtenau,3003,200,2715,2652,63,88,240,5994
2015,Pries,3694,336,3264,3236,28,94,356,7450
2015,Friedrichsort,1061,96,915,819,96,50,74,2095
2015,Neumühlen/Dietrichsdorf,5001,394,4419,4336,83,188,425,12173
2015,Elmschenhagen,9368,825,8204,8058,146,339,896,17192
2015,Suchsdorf,5666,406,5084,4709,375,176,353,9436
2015,Schilksee,3262,175,2977,2837,140,110,323,4983
2015,Mettenhof,7205,355,6652,6373,279,198,332,19715
2015,Russee,4740,344,3975,3889,86,421,369,7057
2015,Meimersdorf,1851,165,1598,1591,7,88,176,3288
2015,Moorsee,1774,131,1329,1056,273,314,294,1980
2015,Wellsee,4835,255,3315,2637,678,1265,505,5208
2015,Rönne,349,45,279,278,1,25,54,428
2015,Kiel,122969,8117,105759,93977,11782,9093,10054,246269
2014,Altstadt,822,13,731,279,452,78,44,654
2014,Vorstadt,1235,31,1118,508,610,86,98,1165
2014,Exerzierplatz,2711,192,2355,2087,268,164,180,6388
2014,Damperhof,1521,72,1309,1110,199,140,97,3319
2014,Brunswik,2513,168,2195,1973,222,150,130,6464
2014,Düsternbrook,2229,75,2049,1470,579,105,201,3200
2014,Blücherplatz,5022,333,4507,4350,157,182,247,11114
2014,Wik,9182,597,8159,7650,509,426,574,18813
2014,Ravensberg,5169,303,4331,3645,686,535,519,12081
2014,Schreventeich,6727,379,5801,3823,1978,547,324,11878
2014,Südfriedhof,6309,451,5455,4723,732,403,398,14895
2014,Gaarden-Ost,4821,230,3934,3322,612,657,586,17662
2014,Gaarden-Süd/Kronsburg,5583,409,4735,4220,515,439,520,10538
2014,Hassee,6931,491,5603,4766,837,837,739,12246
2014,Hasseldieksdamm,2325,126,1694,1370,324,505,369,2797
2014,Ellerbek,2633,198,2327,2288,39,108,217,5894
2014,Wellingdorf,4018,298,3442,3130,312,278,411,7984
2014,Holtenau,2959,198,2679,2617,62,82,223,5204
2014,Pries,3730,343,3291,3262,29,96,351,7381
2014,Friedrichsort,1049,89,917,814,103,43,73,2059
2014,Neumühlen/Dietrichsdorf,4948,392,4386,4302,84,170,428,12005
2014,Elmschenhagen,9304,819,8152,8009,143,333,880,17037
2014,Suchsdorf,5438,374,4896,4597,299,168,340,9427
2014,Schilksee,3245,159,2982,2848,134,104,317,5030
2014,Mettenhof,7097,352,6560,6291,269,185,318,19425
2014,Russee,4575,344,3947,3866,81,284,348,7087
